,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
126,2020-12-31,691.2259237727792,627.1036822197547,770.2238893865037,691.2259237727792,691.2259237727792,4.311650446158502,4.311650446158502,4.311650446158502,4.311650446158502,4.311650446158502,4.311650446158502,0.0,0.0,0.0,695.5375742189377
127,2021-01-04,706.0095931253671,637.3492230143971,779.7272384437789,706.0095931253671,706.0095931253671,2.647085736058062,2.647085736058062,2.647085736058062,2.647085736058062,2.647085736058062,2.647085736058062,0.0,0.0,0.0,708.6566788614252
128,2021-01-05,709.7055104635141,643.2454854268167,784.4663829761208,709.7055104635141,709.7055104635141,5.945052506920829,5.945052506920829,5.945052506920829,5.945052506920829,5.945052506920829,5.945052506920829,0.0,0.0,0.0,715.6505629704349
129,2021-01-06,713.4014278016612,643.0735627036285,786.7982318355985,713.4014278016612,713.4014278016612,5.138764625647555,5.138764625647555,5.138764625647555,5.138764625647555,5.138764625647555,5.138764625647555,0.0,0.0,0.0,718.5401924273087
130,2021-01-07,716.1731968386651,646.9666684003095,795.453933263824,716.1731968386651,716.1731968386651,4.31165044616155,4.31165044616155,4.31165044616155,4.31165044616155,4.31165044616155,4.31165044616155,0.0,0.0,0.0,720.4848472848267
131,2021-01-08,718.9449658756693,655.8185439494199,793.8447733610273,718.9449658756693,718.9449658756693,5.694601882324385,5.694601882324385,5.694601882324385,5.694601882324385,5.694601882324385,5.694601882324385,0.0,0.0,0.0,724.6395677579936
132,2021-01-11,727.2602729866815,666.8849277865716,796.5575944494401,727.2602729866815,727.2602729866815,2.6470857360170594,2.6470857360170594,2.6470857360170594,2.6470857360170594,2.6470857360170594,2.6470857360170594,0.0,0.0,0.0,729.9073587226985
133,2021-01-12,730.0320420236856,667.0017957340657,805.2507921388806,730.0320420236856,730.0320420236856,5.945052506927613,5.945052506927613,5.945052506927613,5.945052506927613,5.945052506927613,5.945052506927613,0.0,0.0,0.0,735.9770945306132
134,2021-01-13,732.8038110606897,667.6659420776125,807.4606686045969,732.8038110606897,732.8038110606897,5.138764625641811,5.138764625641811,5.138764625641811,5.138764625641811,5.138764625641811,5.138764625641811,0.0,0.0,0.0,737.9425756863315
135,2021-01-14,735.5755800976937,671.097212485903,806.8887287094976,735.5755800976937,735.5755800976937,4.311650446164564,4.311650446164564,4.311650446164564,4.311650446164564,4.311650446164564,4.311650446164564,0.0,0.0,0.0,739.8872305438582
136,2021-01-15,738.3473491346978,677.8688040035097,810.8694664859197,738.3473491346978,738.3473491346978,5.694601882314954,5.694601882314954,5.694601882314954,5.694601882314954,5.694601882314954,5.694601882314954,0.0,0.0,0.0,744.0419510170127
137,2021-01-19,749.434425282714,687.1374206679121,823.6477953207057,749.434425282714,749.434425282714,5.945052506911308,5.945052506911308,5.945052506911308,5.945052506911308,5.945052506911308,5.945052506911308,0.0,0.0,0.0,755.3794777896253
138,2021-01-20,750.6698517764082,691.3779305271378,824.3039177500706,750.6698517764082,750.6698517764082,5.138764625642494,5.138764625642494,5.138764625642494,5.138764625642494,5.138764625642494,5.138764625642494,0.0,0.0,0.0,755.8086164020507
139,2021-01-21,751.9052782701026,683.7729673758557,820.6033261747831,751.9052782701026,751.9052782701026,4.311650446167578,4.311650446167578,4.311650446167578,4.311650446167578,4.311650446167578,4.311650446167578,0.0,0.0,0.0,756.2169287162702
